"","x"
"776","morex_contig_40587.6592_G"
"777","morex_contig_137018.2964_A"
"778","morex_contig_42147.3497_T"
"779","morex_contig_1575446.4798_G"
"780","morex_contig_1579007.1277_T"
"781","morex_contig_1562436.6133_T"
"782","morex_contig_1591584.1500_C"
"783","morex_contig_1558503.1117_C"
"784","morex_contig_1707370.1363_C"
"785","morex_contig_37729.1745_T"
"786","morex_contig_52278.2910_T"
"787","morex_contig_244533.3701_G"
"788","morex_contig_1560496.3711_G"
"789","morex_contig_55984.4696_A"
"790","morex_contig_93947.5527_C"
"791","morex_contig_269361.1682_C"
"792","morex_contig_46394.1274_G"
"793","morex_contig_158811.956_T"
"794","morex_contig_60707.4567_G"
"795","morex_contig_38307.4562_T"
"796","morex_contig_57913.6687_C"
"797","morex_contig_58092.957_A"
"798","morex_contig_2627435.205_G"
"799","morex_contig_53977.1552_A"
"800","morex_contig_56640.1397_A"
"801","morex_contig_44639.335_T"
"802","morex_contig_1566334.327_T"
"803","morex_contig_58805.9414_A"
"804","morex_contig_1575393.2141_G"
"805","morex_contig_100372.3560_T"
"806","morex_contig_46502.4168_A"
"807","morex_contig_1561723.1675_A"
"808","morex_contig_137993.3621_T"
"809","morex_contig_44688.5585_T"
"810","morex_contig_217376.975_A"
"811","morex_contig_2551838.1006_T"
"812","morex_contig_41602.7554_T"
"813","morex_contig_6291.641_G"
"814","morex_contig_2548193.6111_G"
"815","morex_contig_2550127.76_A"
"816","morex_contig_67808.197_C"
"817","morex_contig_60245.4809_G"
"818","morex_contig_273989.1153_T"
"819","morex_contig_274716.723_T"
"820","morex_contig_368881.1142_C"
"821","morex_contig_230884.509_C"
"822","morex_contig_59227.1868_T"
"823","morex_contig_2550846.2090_A"
"824","morex_contig_1574725.5143_C"
"825","morex_contig_1563715.2034_G"
"826","morex_contig_1566194.2781_G"
"827","morex_contig_46962.3320_T"
"828","morex_contig_51616.3824_C"
"829","morex_contig_158649.3300_G"
"830","morex_contig_52761.835_T"
"831","morex_contig_40202.3580_A"
"832","morex_contig_58436.928_T"
"833","morex_contig_115859.1479_G"
"834","morex_contig_1566394.413_T"
"835","morex_contig_38257.1059_T"
"836","morex_contig_187481.1063_A"
"837","morex_contig_244058.7669_G"
"838","morex_contig_47774.2616_C"
"839","morex_contig_49537.1514_T"
"840","morex_contig_65496.4655_G"
"841","morex_contig_1563381.821_T"
"842","morex_contig_50095.5141_C"
"843","morex_contig_40735.3288_A"
"844","morex_contig_158744.3704_A"
"845","morex_contig_39254.15924_T"
"846","morex_contig_170956.141_G"
"847","morex_contig_66514.2648_A"
"848","morex_contig_136214.1521_C"
"849","morex_contig_48464.1864_T"
"850","morex_contig_230422.1880_G"
"851","morex_contig_2554149.2052_G"
"852","morex_contig_149510.3110_G"
"853","morex_contig_47885.3701_T"
"854","morex_contig_1557799.7564_G"
"855","morex_contig_44338.2501_C"
"856","morex_contig_46864.1489_C"
"857","morex_contig_40356.5640_A"
"858","morex_contig_139081.7327_T"
"859","morex_contig_5719.2307_T"
"860","morex_contig_63430.1961_G"
"861","morex_contig_135389.6509_A"
"862","morex_contig_2548407.1113_A"
"863","morex_contig_115691.782_G"
"864","morex_contig_1568510.4728_C"
"865","morex_contig_274254.1178_T"
"866","morex_contig_9641.1005_T"
"867","morex_contig_136109.1329_T"
"868","morex_contig_1592840.3067_C"
"869","morex_contig_56258.3101_G"
"870","morex_contig_56526.6121_A"
"871","morex_contig_48518.1224_G"
"872","morex_contig_52499.4008_T"
"873","morex_contig_1983425.457_G"
"874","morex_contig_42998.6344_G"
"875","morex_contig_52254.6709_A"
"876","morex_contig_2139266.739_G"
"877","morex_contig_1561680.8013_A"
"878","morex_contig_274189.8628_A"
"879","morex_contig_137593.4242_G"
"880","morex_contig_1566716.2118_T"
"881","morex_contig_148925.1778_T"
"882","morex_contig_321541.385_C"
"883","morex_contig_76326.5576_C"
"884","morex_contig_44403.3443_C"
"885","morex_contig_59357.813_G"
"886","morex_contig_1563257.3277_A"
"887","morex_contig_114850.3738_T"
"888","morex_contig_136952.1520_T"
"889","morex_contig_1561231.385_G"
"890","morex_contig_156796.3083_T"
"891","morex_contig_1581999.1289_G"
"892","morex_contig_1981992.130_A"
"893","morex_contig_232358.1217_C"
"894","morex_contig_2549703.769_C"
"895","morex_contig_37542.12413_G"
"896","morex_contig_40585.4202_A"
"897","morex_contig_40652.1054_G"
"898","morex_contig_48838.3033_T"
"899","morex_contig_53950.3966_T"
"900","morex_contig_56747.1665_T"
"901","morex_contig_7611.3302_A"
"902","morex_contig_275610.627_C"
"903","morex_contig_6408.266_A"
"904","morex_contig_47876.7358_A"
"905","morex_contig_1558208.5644_A"
"906","morex_contig_127249.544_C"
"907","morex_contig_1625435.806_A"
"908","morex_contig_2556206.828_A"
"909","morex_contig_275079.1566_T"
"910","morex_contig_46342.2047_A"
"911","morex_contig_1562217.3558_G"
"912","morex_contig_10198.698_T"
"913","morex_contig_8127.2821_A"
"914","morex_contig_45239.6581_G"
"915","morex_contig_43421.2054_T"
"916","morex_contig_42038.7767_C"
"917","morex_contig_135198.3469_G"
"918","morex_contig_98721.806_G"
"919","morex_contig_284702.6651_C"
"920","morex_contig_341749.2030_T"
"921","morex_contig_1579493.3592_A"
"922","morex_contig_240912.958_T"
"923","morex_contig_40278.6837_T"
"924","morex_contig_2547622.5078_G"
"925","morex_contig_41196.6184_A"
"926","morex_contig_44867.6138_C"
"927","morex_contig_136612.5184_C"
"928","morex_contig_2547431.916_C"
"929","morex_contig_51629.9462_A"
"930","morex_contig_135846.1273_T"
"931","morex_contig_59424.685_T"
"932","morex_contig_215963.1805_G"
"933","morex_contig_46656.7232_G"
"934","morex_contig_63334.3547_C"
"935","morex_contig_2553017.1307_T"
"936","morex_contig_54016.864_C"
"937","morex_contig_311920.780_C"
"938","morex_contig_39347.462_C"
"939","morex_contig_1569741.1368_A"
"940","morex_contig_9059.982_A"
"941","morex_contig_2551905.1983_G"
"942","morex_contig_39453.2823_G"
"943","morex_contig_404698.2159_T"
"944","morex_contig_244670.3263_T"
"945","morex_contig_274297.5426_G"
"946","morex_contig_1570130.6918_G"
"947","morex_contig_5677.7227_C"
"948","morex_contig_60261.2252_C"
"949","morex_contig_274326.12526_C"
"950","morex_contig_38913.4189_A"
"951","morex_contig_56033.5033_T"
"952","morex_contig_244117.10039_G"
"953","morex_contig_1569972.2069_C"
"954","morex_contig_349357.2602_C"
"955","morex_contig_1564169.1206_A"
"956","morex_contig_2548543.1071_A"
"957","morex_contig_272650.1504_C"
"958","morex_contig_51127.1279_G"
"959","morex_contig_97165.1243_C"
"960","morex_contig_1579207.1472_C"
"961","morex_contig_42249.15493_C"
"962","morex_contig_46312.11350_C"
"963","morex_contig_158658.825_T"
"964","morex_contig_54060.1351_T"
"965","morex_contig_133310.4037_G"
"966","morex_contig_1593207.396_C"
"967","morex_contig_2549001.1153_T"
"968","morex_contig_57106.6930_A"
"969","morex_contig_47868.2713_C"
"970","morex_contig_6240.1067_A"
"971","morex_contig_52413.4113_A"
"972","morex_contig_1581212.2627_A"
"973","morex_contig_40397.6120_T"
"974","morex_contig_6263.2285_G"
"975","morex_contig_1584218.1231_T"
"976","morex_contig_50547.1271_G"
"977","morex_contig_137849.1157_G"
"978","morex_contig_335634.327_C"
"979","morex_contig_48999.1188_C"
"980","morex_contig_39573.2486_A"
"981","morex_contig_6528.3639_T"
"982","morex_contig_135461.5898_A"
"983","morex_contig_1564629.9413_A"
"984","morex_contig_67844.1956_G"
"985","morex_contig_1561676.2040_C"
"986","morex_contig_2548677.1398_G"
"987","morex_contig_1558655.3740_T"
"988","morex_contig_134577.1825_T"
"989","morex_contig_344714.2622_C"
"990","morex_contig_37365.405_T"
"991","morex_contig_1657043.2226_T"
"992","morex_contig_158241.635_A"
"993","morex_contig_1558293.4070_G"
"994","morex_contig_40738.792_T"
"995","morex_contig_51511.2082_C"
"996","morex_contig_2546777.4062_G"
"997","morex_contig_1558640.4684_C"
"998","morex_contig_59596.10028_C"
"999","morex_contig_2555608.347_G"
"1000","morex_contig_124333.2593_G"
